Traffic,Date,Tag ID,Tag Name,Tag Dimensions,Type,Site,Requests,Opportunities,Impressions,Fill Rate,CPM,Earnings
Combined,2016-06-17,347713,Gravitytales_300_ATF_NoFloor,300x250,DISPLAY,all traffic,1413,0,191,0.14,0.12,0.02
Combined,2016-06-17,357729,Gravitytales_300_Mobile1,300x250,DISPLAY,all traffic,6,0,1,0.17,0.00,0.00
Combined,2016-06-17,358015,Gravitytales_300_Mobile1z,300x250,DISPLAY,all traffic,3,0,1,0.33,0.00,0.00
Combined,2016-06-17,352652,Gravitytales_300_Mobile2,300x250,DISPLAY,all traffic,386337,0,61695,0.16,0.35,21.63
Combined,2016-06-17,362134,Gravitytales_300_Mobile2z,300x250,DISPLAY,all traffic,301298,0,56231,0.19,0.10,5.46
Combined,2016-06-17,359751,Gravitytales_300_Mobile3,300x250,DISPLAY,all traffic,386169,0,55279,0.14,0.31,17.09
Combined,2016-06-17,362137,Gravitytales_300_Mobile3z,300x250,DISPLAY,all traffic,308228,0,58845,0.19,0.10,5.85
Combined,2016-06-17,358045,Gravitytales_728_ATF,728x90,DISPLAY,all traffic,495619,0,64650,0.13,0.48,31.24
Combined,2016-06-17,358046,Gravitytales_728_ATF_NoFloor,728x90,DISPLAY,all traffic,248729,0,49297,0.20,0.07,3.24
Combined,2016-06-17,339886,GravityTales_728_BTF,728x90,DISPLAY,all traffic,432295,0,58644,0.14,0.48,28.33
Combined,2016-06-17,341246,GravityTales_728_BTF_NoFloor,728x90,DISPLAY,all traffic,304859,0,68427,0.22,0.07,4.98
Combined,2016-06-17,337206,heroicnovels.com_300X250,300x250,DISPLAY,all traffic,46,0,4,0.09,0.47,0.00
Combined,2016-06-17,342729,Moonbunnycafe_300,300x250,DISPLAY,all traffic,31689,0,8781,0.28,0.33,2.93
Combined,2016-06-17,342730,Moonbunnycafe_300x600,300x600,DISPLAY,all traffic,32218,0,8062,0.25,0.10,0.81
Combined,2016-06-17,361069,Moonbunnycafe_300_2,300x250,DISPLAY,all traffic,779,0,69,0.09,0.35,0.02
Combined,2016-06-17,361070,Moonbunnycafe_300_3,300x250,DISPLAY,all traffic,755,0,57,0.08,0.29,0.02
Combined,2016-06-17,342731,Moonbunnycafe_728,728x90,DISPLAY,all traffic,33189,0,7486,0.23,0.19,1.40
Combined,2016-06-17,361071,Moonbunnycafe_728_2,728x90,DISPLAY,all traffic,1131,0,61,0.05,0.21,0.01
Combined,2016-06-17,361072,Moonbunnycafe_728_3,728x90,DISPLAY,all traffic,1153,0,80,0.07,0.19,0.01
Combined,2016-06-17,339903,PikaTranslations_300x600_BTF1,300x600,DISPLAY,all traffic,1746,0,458,0.26,0.32,0.15
Combined,2016-06-17,339904,PikaTranslations_300x600_BTF2,300x600,DISPLAY,all traffic,1746,0,435,0.25,0.32,0.14
Combined,2016-06-17,339902,PikaTranslations_300_ATF,300x250,DISPLAY,all traffic,1765,0,807,0.46,0.37,0.30
Combined,2016-06-17,339905,PikaTranslations_300_BTF,300x250,DISPLAY,all traffic,1761,0,829,0.47,0.36,0.30
Combined,2016-06-17,340174,ShiroyukiTranslations_300,300x250,DISPLAY,all traffic,130901,0,31283,0.24,0.50,15.68
Combined,2016-06-17,341505,ShiroyukiTranslations_300_NoFloor,300x250,DISPLAY,all traffic,59932,0,25055,0.42,0.10,2.60
Combined,2016-06-17,350857,Subudai11_300,300x250,DISPLAY,all traffic,14061,0,3954,0.28,0.18,0.72
Combined,2016-06-17,339901,TranslationNations_300,300x250,DISPLAY,all traffic,151893,0,48935,0.32,0.69,33.64
Combined,2016-06-17,341243,TranslationNations_300_NoFloor,300x250,DISPLAY,all traffic,45987,0,19052,0.41,0.11,2.00
Combined,2016-06-18,339885,GravityTales_2a_300_BTF,300x250,DISPLAY,all traffic,379803,0,50228,0.13,0.25,12.77
Combined,2016-06-18,341245,GravityTales_2b_300_BTF_NoFloor,300x250,DISPLAY,all traffic,230837,0,61009,0.26,0.12,7.10
Combined,2016-06-18,362446,Gravitytales_300_3,300x250,DISPLAY,all traffic,348783,0,38536,0.11,0.28,10.83
Combined,2016-06-18,362447,Gravitytales_300_3z,300x250,DISPLAY,all traffic,260665,0,41980,0.16,0.09,3.97
Combined,2016-06-18,362462,Gravitytales_300_4,300x250,DISPLAY,all traffic,327312,0,38721,0.12,0.34,13.36
Combined,2016-06-18,362463,Gravitytales_300_4z,300x250,DISPLAY,all traffic,251876,0,45913,0.18,0.11,4.93
Combined,2016-06-18,347712,Gravitytales_300_ATF,300x250,DISPLAY,all traffic,6440,0,992,0.15,0.32,0.31
Combined,2016-06-18,347713,Gravitytales_300_ATF_NoFloor,300x250,DISPLAY,all traffic,2002,0,254,0.13,0.11,0.03
Combined,2016-06-18,357729,Gravitytales_300_Mobile1,300x250,DISPLAY,all traffic,2,0,0,0.00,0.00,0.00
Combined,2016-06-18,358015,Gravitytales_300_Mobile1z,300x250,DISPLAY,all traffic,1,0,0,0.00,0.00,0.00
Combined,2016-06-18,352652,Gravitytales_300_Mobile2,300x250,DISPLAY,all traffic,388515,0,58812,0.15,0.35,20.82
Combined,2016-06-18,362134,Gravitytales_300_Mobile2z,300x250,DISPLAY,all traffic,306306,0,58754,0.19,0.09,5.45
Combined,2016-06-18,359751,Gravitytales_300_Mobile3,300x250,DISPLAY,all traffic,387695,0,52554,0.14,0.30,16.02
Combined,2016-06-18,362137,Gravitytales_300_Mobile3z,300x250,DISPLAY,all traffic,312494,0,61124,0.20,0.09,5.72
Combined,2016-06-18,358045,Gravitytales_728_ATF,728x90,DISPLAY,all traffic,500326,0,61834,0.12,0.44,27.06
Combined,2016-06-18,358046,Gravitytales_728_ATF_NoFloor,728x90,DISPLAY,all traffic,250590,0,55809,0.22,0.06,3.13
Combined,2016-06-18,339886,GravityTales_728_BTF,728x90,DISPLAY,all traffic,431708,0,55275,0.13,0.44,24.19
Combined,2016-06-18,341246,GravityTales_728_BTF_NoFloor,728x90,DISPLAY,all traffic,306321,0,77868,0.25,0.06,4.96
Combined,2016-06-18,337206,heroicnovels.com_300X250,300x250,DISPLAY,all traffic,23,0,5,0.22,0.67,0.00
Combined,2016-06-18,342729,Moonbunnycafe_300,300x250,DISPLAY,all traffic,44095,0,12821,0.29,0.31,4.00
Combined,2016-06-18,342730,Moonbunnycafe_300x600,300x600,DISPLAY,all traffic,43312,0,10880,0.25,0.08,0.91
Combined,2016-06-18,361069,Moonbunnycafe_300_2,300x250,DISPLAY,all traffic,1732,0,128,0.07,0.37,0.05
Combined,2016-06-18,361070,Moonbunnycafe_300_3,300x250,DISPLAY,all traffic,1668,0,117,0.07,0.43,0.05
Combined,2016-06-18,342731,Moonbunnycafe_728,728x90,DISPLAY,all traffic,45492,0,9199,0.20,0.17,1.57
Combined,2016-06-18,361071,Moonbunnycafe_728_2,728x90,DISPLAY,all traffic,2172,0,271,0.12,0.20,0.05
Combined,2016-06-18,361072,Moonbunnycafe_728_3,728x90,DISPLAY,all traffic,2167,0,259,0.12,0.24,0.06
Combined,2016-06-18,339903,PikaTranslations_300x600_BTF1,300x600,DISPLAY,all traffic,1743,0,504,0.29,0.36,0.18
Combined,2016-06-18,339904,PikaTranslations_300x600_BTF2,300x600,DISPLAY,all traffic,1727,0,493,0.29,0.38,0.19
Combined,2016-06-18,339902,PikaTranslations_300_ATF,300x250,DISPLAY,all traffic,1776,0,916,0.52,0.40,0.37
Combined,2016-06-18,339905,PikaTranslations_300_BTF,300x250,DISPLAY,all traffic,1762,0,882,0.50,0.43,0.38
Combined,2016-06-18,340174,ShiroyukiTranslations_300,300x250,DISPLAY,all traffic,118487,0,30475,0.26,0.50,15.31
Combined,2016-06-18,341505,ShiroyukiTranslations_300_NoFloor,300x250,DISPLAY,all traffic,52128,0,20818,0.40,0.10,2.16
Combined,2016-06-18,350857,Subudai11_300,300x250,DISPLAY,all traffic,17411,0,4537,0.26,0.17,0.79
Combined,2016-06-18,339901,TranslationNations_300,300x250,DISPLAY,all traffic,166772,0,54616,0.33,0.67,36.81
Combined,2016-06-18,341243,TranslationNations_300_NoFloor,300x250,DISPLAY,all traffic,49218,0,21486,0.44,0.11,2.29
Combined,2016-06-19,339885,GravityTales_2a_300_BTF,300x250,DISPLAY,all traffic,413973,0,52322,0.13,0.25,13.02
Combined,2016-06-19,341245,GravityTales_2b_300_BTF_NoFloor,300x250,DISPLAY,all traffic,241011,0,58813,0.24,0.09,5.43
Combined,2016-06-19,362446,Gravitytales_300_3,300x250,DISPLAY,all traffic,382000,0,41111,0.11,0.27,10.98
Combined,2016-06-19,362447,Gravitytales_300_3z,300x250,DISPLAY,all traffic,288184,0,44650,0.15,0.10,4.24
Combined,2016-06-19,362462,Gravitytales_300_4,300x250,DISPLAY,all traffic,360872,0,42676,0.12,0.32,13.78
Combined,2016-06-19,362463,Gravitytales_300_4z,300x250,DISPLAY,all traffic,277196,0,49705,0.18,0.10,5.00
